2003gd    II-P 3.54 0.02 4.3  0.20
2005cs    II-P 3.55 0.05 4.4  0.20
2009md    II-P 3.55 0.01 4.5  0.20
2006my    II-P 3.55 0.10 4.7  0.20
2012A     II-P 3.58 0.05 4.7  0.10
2013ej    II-P 3.57 0.04 4.7  0.20
2004et    II-P 3.56 0.05 4.8  0.20
2008bk    II-P 3.64 0.10 4.8  0.20
2004A     II-P 3.59 0.04 4.9  0.10
2012aw    II-P 3.56 0.04 4.9  0.10
2009hd    II-L 3.72 0.15 5.0  0.20
2009kr    II-L 3.68 0.03 5.1  0.25
2012ec    II-P 3.53 0.03 5.1  0.20
2006ov    II-P 3.55 0.0  4.7  0.0
2004dg    II-P 3.55 0.0  4.7  0.0
2001du    II-P 3.55 0.0  4.7  0.0
2006bc    II-P 3.55 0.0  4.9  0.0
2007aa    II-P 3.55 0.0  4.9  0.0
1999gi    II-P 3.55 0.0  4.9  0.0
2009N     II-P 3.55 0.0  4.9  0.0
1999br    II-P 3.55 0.0  5.0  0.0
1999em    II-P 3.55 0.0  5.0  0.0
2009ib    II-P 3.55 0.0  5.0  0.0
2002hh    II-P 3.55 0.0  5.0  0.0
2009H     II-P 3.55 0.0  5.1  0.0
1999an    II-P 3.55 0.0  5.2  0.0
2008ax    IIb  3.95 0.2  5.1  0.2
2011dh    IIb  3.78 0.01 4.9  0.2
2013df    IIb  3.62 0.01 4.94 0.1
1993J     IIb  3.77 0.1  5.2  0.3
2016gkg   IIb  3.97 0.2  5.15 0.25
iPTF13bvn Ib   4.64 0.1  5.36 0.2
2019yvr   Ib   3.83 0.02 5.2  0.2
